last_name, first_name,player_id,attempts,avg_hit_angle,anglesweetspotpercent,max_hit_speed,avg_hit_speed,fbld,gb,max_distance,avg_distance,avg_hr_distance,ev95plus,ev95percent,barrels,brl_percent,brl_pa
Hall, Matt,664180,17,15.3,35.3,101.9,83.3,94.4,81.7,376,199,373,5,29.4,1,5.9,3.2
Altherr, Aaron,571437,3,9.9,33.3,101.7,95.5,101.7,92.4,330,183,,2,66.7,0,0.0,0.0
Williams, Austen,657117,5,9.8,60.0,101.6,94.7,98.6,89.0,408,207,399,2,40.0,2,40.0,28.6
Adam, Jason,592094,19,30.7,26.3,101.6,89.2,91.4,88.7,395,263,395,6,31.6,2,10.5,7.1
Loup, Aaron,571901,7,-2.1,28.6,101.5,83.9,97.0,74.0,290,105,,3,42.9,0,0.0,0.0
Alberto, Hanser,593643,4,21.4,50.0,101.3,92.9,96.3,82.9,391,345,391,2,50.0,2,50.0,28.6
Reyes, Alex,621052,10,21.3,40.0,101.1,90.2,91.3,87.7,372,212,372,5,50.0,0,0.0,0.0
Brosseau, Michael,670712,6,19.6,50.0,100.8,86.3,85.0,92.8,352,184,,1,16.7,0,0.0,0.0
Harvey, Hunter,640451,1,-25.3,0.0,100.3,100.3,,100.3,4,4,,1,100.0,0,0.0,0.0
Norwood, James,656803,2,34.4,0.0,99.9,98.2,98.2,,371,353,,2,100.0,0,0.0,0.0
Freeman, Mike,502273,8,9.6,25.0,99.9,84.1,91.9,76.3,389,176,389,2,25.0,0,0.0,0.0
Kuhnel, Joel,669270,9,12.6,44.4,99.7,93.3,92.5,94.2,392,189,392,4,44.4,1,11.1,8.3
Kelley, Trevor,665001,4,27.0,75.0,98.6,96.0,96.0,,377,304,,3,75.0,0,0.0,0.0
Reynolds, Mark,448602,5,16.5,0.0,98.4,94.1,92.9,94.9,289,124,,3,60.0,0,0.0,0.0
France, Ty,664034,4,23.1,0.0,96.6,90.0,90.7,91.9,232,143,,1,25.0,0,0.0,0.0
Peraza, Jose,606299,4,29.2,0.0,95.9,87.9,95.9,87.9,357,187,,1,25.0,0,0.0,0.0
Baez, Sandy,622783,5,14.9,20.0,95.1,79.2,91.1,74.5,332,158,,1,20.0,0,0.0,0.0
Ramsey, Matt,543677,2,47.8,0.0,95.0,88.5,88.5,,270,254,,0,0.0,0,0.0,0.0
De Leon, Jose,592254,4,12.2,75.0,95.0,82.1,82.4,81.4,340,174,,0,0.0,0,0.0,0.0
O'Rourke, Ryan,594951,2,59.2,0.0,94.5,83.9,73.4,,218,159,,0,0.0,0,0.0,0.0
Sucre, Jesus,491696,3,6.7,0.0,93.9,88.7,93.9,86.2,245,88,,0,0.0,0,0.0,0.0
Morales, Kendrys,434778,4,29.0,25.0,93.7,89.9,89.9,93.7,311,180,,0,0.0,0,0.0,0.0
Rondon, Jose,602922,5,16.9,20.0,93.2,88.6,91.2,90.3,152,152,,0,0.0,0,0.0,0.0
Reed, AJ,607223,3,26.4,0.0,93.2,84.3,86.1,80.7,332,204,,0,0.0,0,0.0,0.0
Maile, Luke,571912,4,21.5,25.0,93.1,86.1,93.1,88.3,290,93,,0,0.0,0,0.0,0.0
Farmer, Kyle,571657,5,6.1,40.0,91.1,87.3,90.2,82.9,,,,0,,0,0.0,0.0
Davis, Taylor,543089,6,-1.8,33.3,90.4,84.7,89.8,79.5,291,147,,0,0.0,0,0.0,0.0
Parra, Gerardo,467827,1,8.6,100.0,88.4,88.4,,88.4,113,113,,0,0.0,0,0.0,0.0
Sandoval, Pablo,467055,2,12.8,50.0,88.4,87.5,88.4,86.5,335,183,,0,0.0,0,0.0,0.0
Avila, Pedro,658648,15,13.0,53.3,88.0,79.1,80.4,77.3,341,158,,0,0.0,0,0.0,0.0
Martini, Nick,605361,2,35.4,50.0,84.6,65.8,84.6,,320,225,,0,0.0,0,0.0,0.0
Holaday, Bryan,592407,1,-4.9,0.0,84.4,84.4,,84.4,23,23,,0,0.0,0,0.0,0.0
Stallings, Jacob,607732,3,37.1,0.0,84.2,82.5,83.3,84.2,262,143,,0,0.0,0,0.0,0.0
Abreu, Bryan,650556,3,-23.6,0.0,82.9,76.9,,76.9,22,12,,0,0.0,0,0.0,0.0
