last_name, first_name,player_id,attempts,avg_hit_angle,anglesweetspotpercent,max_hit_speed,avg_hit_speed,fbld,gb,max_distance,avg_distance,avg_hr_distance,ev95plus,ev95percent,barrels,brl_percent,brl_pa
Court, Ryan,606956,12,16.3,41.7,107.1,81.4,95.1,75.1,366,161,366,4,33.3,2,16.7,11.1
Dahl, David,621311,271,10.8,41.0,107.1,88.2,93.8,81.4,447,189,405,105,38.7,28,10.3,6.8
Forsythe, Logan,523253,186,11.9,39.2,107.1,88.8,92.7,84.4,432,180,399,71,38.6,12,6.5,3.8
Newman, Kevin,621028,305,7.4,31.8,107.1,84.4,87.5,82.5,422,144,393,75,24.8,5,1.6,1.3
Seager, Kyle,572122,198,19.7,35.9,107.1,89.7,93.0,84.7,416,205,383,83,42.8,17,8.6,6.0
Granderson, Curtis,434158,196,18.5,39.8,107.0,88.2,93.2,80.6,439,198,391,71,36.2,15,7.7,4.7
Riddle, JT,595375,90,9.9,30.0,107.0,88.9,92.0,86.9,399,168,384,27,30.0,8,8.9,5.8
Flaherty, Jack,656427,32,-4.5,40.6,107.0,77.5,90.7,67.3,379,155,,7,21.9,0,0.0,0.0
Bemboom, Anthony,621532,10,26.6,40.0,107.0,90.1,88.2,101.4,422,252,422,4,40.0,1,10.0,5.9
VanMeter, Josh,642165,96,13.3,41.7,106.9,89.8,93.2,87.3,463,179,402,34,36.2,2,2.1,1.4
Peraza, Jose,606299,255,18.1,33.3,106.9,84.7,87.9,84.6,432,178,384,63,25.4,1,0.4,0.3
Escobar, Eduardo,500871,394,18.9,40.1,106.9,88.1,90.8,85.0,433,220,393,123,31.2,30,7.6,5.5
Owings, Chris,572008,84,11.3,26.2,106.9,86.4,92.0,83.3,408,151,378,24,28.6,5,6.0,3.2
Wade, Tyler,642180,35,0.8,17.1,106.9,82.6,84.4,82.7,359,111,359,10,28.6,0,0.0,0.0
Starling, Bubba,605490,69,7.1,33.3,106.9,79.7,89.4,71.8,406,165,369,14,20.3,2,2.9,1.9
Adrianza, Ehire,501303,144,13.2,37.5,106.9,86.4,90.4,82.6,414,165,401,40,27.8,4,2.8,2.0
Mahtook, Mikie,543484,12,30.4,0.0,106.9,88.6,96.9,83.8,375,193,,3,25.0,1,8.3,4.0
Burnes, Corbin,669203,6,-18.4,0.0,106.9,84.7,,84.7,144,54,,2,33.3,0,0.0,0.0
Cervelli, Francisco,465041,79,10.4,32.9,106.8,85.7,88.9,82.7,385,163,373,21,26.6,2,2.5,1.6
Moroff, Max,621559,17,23.9,35.3,106.8,83.7,91.9,74.9,360,165,360,6,35.3,1,5.9,2.9
Duggar, Steven,621453,186,8.0,35.5,106.8,84.7,90.5,80.6,408,151,400,61,32.8,8,4.3,2.8
Cabrera, Asdrubal,452678,265,15.8,37.0,106.8,88.5,92.3,85.3,408,191,381,87,32.8,12,4.5,3.0
Joyce, Matt,459964,89,19.1,38.2,106.7,88.7,92.6,83.9,406,198,391,28,31.5,7,7.9,5.1
Sanchez, Adrian,506703,18,0.8,27.8,106.7,86.9,85.7,88.4,299,119,,6,33.3,0,0.0,0.0
Nido, Tomas,621512,85,5.7,27.1,106.7,86.3,93.2,82.6,428,153,409,25,30.5,4,4.7,3.3
Wendle, Joey,621563,114,10.7,29.8,106.7,86.4,87.7,86.2,388,161,,37,32.5,2,1.8,1.3
Crawford, Brandon,543063,301,8.8,36.9,106.7,87.1,92.8,82.8,443,158,403,102,33.9,17,5.6,3.8
Quinn, Roman,596451,75,5.5,22.7,106.7,80.2,94.8,74.1,439,140,414,27,36.0,4,5.3,3.3
Reed, AJ,607223,24,20.6,20.8,106.7,88.5,93.3,85.1,436,169,436,8,34.8,2,8.3,4.1
Farmer, Kyle,571657,99,17.0,28.3,106.7,84.9,91.0,82.6,414,166,382,29,30.2,6,6.1,3.9
Belt, Brandon,474832,313,21.6,43.1,106.6,87.0,91.7,80.9,434,217,394,115,36.9,28,8.9,5.8
