last_name, first_name,player_id,attempts,avg_hit_angle,anglesweetspotpercent,max_hit_speed,avg_hit_speed,fbld,gb,max_distance,avg_distance,avg_hr_distance,ev95plus,ev95percent,barrels,brl_percent,brl_pa
Cashner, Andrew,488768,437,9.5,31.6,120.6,89.3,94.4,85.8,441,167,407,178,40.7,35,8.0,5.9
Nova, Ivan,467100,586,10.3,34.5,118.9,88.5,93.8,84.6,440,161,396,231,39.6,45,7.7,6.1
Armenteros, Rogelio,660494,52,14.2,32.7,118.9,86.0,91.4,82.7,398,173,398,15,28.8,2,3.8,2.7
Adams, Chance,664856,82,14.7,30.5,118.7,88.9,91.9,85.5,411,184,385,27,32.9,8,9.8,7.0
Hamels, Cole,430935,384,10.5,29.9,118.3,89.3,94.6,85.5,454,164,412,156,40.6,29,7.6,5.2
Morin, Mike,573046,149,13.1,36.9,118.3,85.2,90.6,81.0,412,173,387,39,26.5,7,4.7,3.9
German, Domingo,593334,382,14.8,37.7,118.3,89.1,94.1,84.5,441,190,395,153,40.1,34,8.9,6.0
Venters, Jonny,458924,25,5.4,24.0,118.3,96.1,100.0,96.9,454,149,441,14,58.3,4,16.0,8.2
Cobb, Alex,502171,50,6.4,42.0,118.1,94.9,104.1,87.6,438,184,411,30,60.0,13,26.0,21.7
McClain, Reggie,596035,55,-2.1,27.3,117.9,92.3,94.2,91.1,385,119,357,26,47.3,3,5.5,4.0
Samardzija, Jeff,502188,486,16.2,35.0,117.9,89.0,93.6,84.5,440,193,405,181,37.3,41,8.4,6.2
Wheeler, Zack,554430,520,10.5,34.4,117.6,86.5,90.5,83.4,447,165,405,171,32.9,30,5.8,4.0
Stripling, Ross,548389,232,10.1,23.3,117.4,88.2,93.8,85.7,415,155,401,90,38.8,16,6.9,4.8
Chatwood, Tyler,543022,197,5.4,36.0,117.0,87.1,89.9,86.8,418,141,390,70,35.5,6,3.0,1.9
Giolito, Lucas,608337,405,17.2,37.0,117.0,87.7,92.7,84.1,473,182,406,140,34.6,37,9.1,5.4
Alexander, Tyler,641302,125,15.9,32.0,116.8,89.7,94.7,85.1,450,187,399,46,36.8,9,7.2,5.4
Kolarek, Adam,592473,157,0.1,23.6,116.8,86.7,92.0,85.1,402,115,378,55,35.0,9,5.7,4.1
Fillmyer, Heath,641571,64,14.6,32.8,116.6,93.2,94.6,94.7,396,175,375,31,49.2,6,9.4,7.5
Rogers, Taylor,573124,156,8.0,28.8,116.4,86.6,92.2,82.9,419,153,400,44,29.3,12,7.7,4.8
Richard, Clayton,453385,157,5.3,30.6,116.4,91.7,94.0,91.5,439,141,398,78,49.7,15,9.6,7.5
Stanek, Ryne,592773,182,17.3,38.5,116.3,89.6,94.6,84.0,442,207,413,72,39.8,17,9.3,5.9
Marquez, German,608566,506,6.3,34.2,116.3,90.2,93.6,87.6,469,160,407,218,43.1,40,7.9,5.5
Flaherty, Jack,656427,422,15.4,34.4,116.3,86.4,91.6,83.1,431,182,399,135,32.0,30,7.1,4.5
Freeland, Kyle,607536,335,9.3,34.3,116.3,89.0,93.0,86.5,451,168,406,134,40.1,31,9.3,6.9
Biagini, Joe,607352,191,9.0,38.2,116.3,88.2,92.8,84.3,448,168,402,64,33.5,17,8.9,6.2
Suarez, Jose,660761,230,15.0,37.0,116.2,87.5,93.0,83.4,451,185,395,84,36.5,20,8.7,6.1
Gray, Jon,592351,427,7.5,31.6,116.2,88.9,92.9,87.0,470,151,407,186,43.6,25,5.9,3.9
Colome, Alex,517008,147,9.7,34.0,116.1,90.7,93.8,87.9,408,175,401,60,40.8,14,9.5,6.5
Porcello, Rick,519144,530,15.7,35.1,116.1,88.1,93.7,82.8,452,186,396,195,36.8,53,10.0,7.5
Soria, Joakim,465657,167,14.1,36.5,116.0,87.4,93.7,82.0,467,180,413,58,35.8,16,9.6,6.1
Plutko, Adam,592644,301,19.6,34.9,116.0,87.9,92.2,84.7,449,197,397,94,31.2,19,6.3,4.9
Webb, Tyler,643778,128,15.5,34.4,116.0,85.5,90.4,81.3,414,176,395,37,29.4,7,5.5,3.6
Wood, Alex,622072,113,12.0,42.5,115.9,87.8,92.6,82.0,463,189,395,38,33.6,11,9.7,7.2
Davis, Wade,451584,128,14.8,37.5,115.9,89.4,91.6,88.6,449,175,414,44,34.4,10,7.8,5.1
Jackson, Luke,592426,168,1.7,27.4,115.9,87.9,92.6,85.9,446,131,415,58,34.5,13,7.7,4.5
Anderson, Tanner,664196,79,8.1,27.8,115.9,88.6,97.6,84.5,427,148,400,34,43.0,9,11.4,8.6
Jurado, Ariel,642558,395,8.9,34.4,115.8,89.0,93.8,85.3,447,167,404,170,43.3,41,10.4,8.0
McGee, Jake,459429,125,15.9,43.2,115.8,89.3,94.6,84.7,443,211,403,50,40.0,12,9.6,7.1
Jackson, Edwin,429719,219,10.5,41.1,115.7,90.7,95.2,86.4,450,187,393,95,43.4,27,12.3,9.2
