Name,Team,Position,PA,EV,HH%,wOBA,xwOBA,Trend,playerElo
Aaron Sanchez,Houston Astros,SP,605,89.6,41.7,0.356,0.345,-4,863.6311584553928
Adrian Sampson,Texas Rangers,SP,531,90.6,47.3,0.389,0.372,-18,862.6311584553928
Corbin Burnes,Milwaukee Brewers,RP,223,89,40.7,0.425,0.359,-21,861.6311584553928
Dylan Covey,Chicago White Sox,RP,260,88.5,37.6,0.372,0.403,-59,857.6311584553928
Jordan Zimmermann,Detroit Tigers,SP,437,89.3,38.3,0.355,0.364,18,856.6311584553928
Wei-Yin Chen,Miami Marlins,RP,278,88.7,39.8,0.384,0.343,14,850.6311584553928
Tayron Guerrero,Miami Marlins,RP,197,90.6,41.4,0.351,0.364,-47,836.6311584553928
Ty Blach,Baltimore Orioles,SP,139,90.2,42.6,0.469,0.403,-38,833.6311584553928
Shelby Miller,Texas Rangers,RP,220,89.6,39.1,0.387,0.374,17,825.6311584553928
Ryan Carpenter,Detroit Tigers,SP,197,90.4,45.2,0.421,0.382,-47,815.6311584553928
Antonio Senzatela,Colorado Rockies,SP,483,88.7,43.3,0.38,0.361,-73,806.6311584553928
David Hess,Baltimore Orioles,SP,353,91.4,49.2,0.403,0.397,-24,806.6311584553928
Felix Hernandez,Seattle Mariners,SP,249,91.6,44.4,0.399,0.368,-42,802.6311584553928
Dan Straily,Baltimore Orioles,RP,236,91.4,48.6,0.471,0.446,-70,789.6311584553928
Edwin Jackson,Detroit Tigers,SP,292,90.7,43.4,0.459,0.404,-35,742.6311584553928
