last_name, first_name,player_id,year,pa,bip,ba,est_ba,est_ba_minus_ba_diff,slg,est_slg,est_slg_minus_slg_diff,woba,est_woba,est_woba_minus_woba_diff
Narvaez, Omar,553882,2019,422,297,.282,.249,.033,.461,.409,.052,.351,.324,.027
Longoria, Evan,446334,2019,422,294,.264,.277,-.013,.463,.497,-.034,.337,.360,-.023
Kingery, Scott,664068,2019,420,262,.273,.242,.031,.503,.418,.085,.353,.315,.038
Laureano, Ramon,657656,2019,419,274,.284,.266,.018,.518,.453,.065,.357,.334,.023
McCann, James,543510,2019,419,268,.274,.258,.016,.460,.440,.020,.336,.326,.010
Sanchez, Gary,596142,2019,419,262,.237,.248,-.011,.543,.554,-.011,.355,.371,-.016
Markakis, Nick,455976,2019,416,318,.284,.294,-.010,.429,.418,.011,.339,.348,-.009
Choi, Ji-Man,596847,2019,415,273,.259,.254,.005,.425,.439,-.014,.336,.345,-.009
Jimenez, Eloy,650391,2019,415,275,.255,.254,.001,.478,.472,.006,.330,.333,-.003
Urshela, Gio,570482,2019,414,316,.331,.306,.025,.555,.506,.049,.388,.365,.023
Myers, Wil,571976,2019,414,225,.232,.240,-.008,.409,.418,-.009,.315,.326,-.011
Senzel, Nick,669222,2019,413,274,.257,.237,.020,.428,.388,.040,.319,.300,.019
Dahl, David,621311,2019,413,271,.302,.260,.042,.524,.461,.063,.368,.336,.032
Hernandez, Enrique,571771,2019,409,285,.243,.242,.001,.434,.406,.028,.317,.313,.004
Dyson, Jarrod,502481,2019,406,289,.242,.233,.009,.338,.303,.035,.291,.277,.014
Canha, Mark,592192,2019,404,249,.272,.245,.027,.534,.457,.077,.392,.361,.031
Schoop, Jonathan,570731,2019,401,273,.259,.254,.005,.484,.438,.046,.334,.319,.015
Ohtani, Shohei,660271,2019,400,264,.286,.281,.005,.492,.474,.018,.353,.352,.001
Posey, Buster,457763,2019,399,300,.257,.252,.005,.373,.412,-.039,.305,.322,-.017
Tapia, Raimel,606132,2019,399,293,.285,.263,.022,.433,.377,.056,.322,.296,.026
Drury, Brandon,592273,2019,398,276,.222,.244,-.022,.388,.421,-.033,.276,.308,-.032
