Name,Team,Position,PA,EV,HH%,wOBA,xwOBA,Trend,playerElo
Ryan Yarbrough,Tampa Bay Rays,SP,471,83.8,25.9,0.255,0.282,-24,1067
Hector Neris,Philadelphia Phillies,RP,237,87.6,33.1,0.269,0.263,55,1067
Michael Lorenzen,Cincinnati Reds,SP,310,84.9,30.8,0.289,0.277,46,1066
Kyle Ryan,Chicago Cubs,RP,216,88.3,41.4,0.27,0.285,12,1066
Trevor May,Minnesota Twins,RP,225,87,32.3,0.267,0.282,40,1065
Marcus Walden,Boston Red Sox,SP,283,89.3,34.4,0.269,0.295,6,1063
Josh Taylor,Boston Red Sox,RP,176,86.7,28.8,0.282,0.276,48,1063
Wade Miley,Houston Astros,SP,651,87.1,32.7,0.294,0.289,21,1063
Brock Burke,Texas Rangers,SP,73,83.9,27.8,0.25,0.287,32,1062
James Pazos,Colorado Rockies,SP,6,77.5,0,0.313,0.247,62,1062
Kyle Hendricks,Chicago Cubs,SP,629,85.3,30.3,0.294,0.293,-16,1061
Shawn Kelley,Texas Rangers,RP,173,87.6,33.9,0.355,0.35,-44,1061
Julio Urias,Los Angeles Dodgers,SP,289,83.5,26,0.268,0.272,-13,1061
Richard Rodriguez,Pittsburgh Pirates,RP,241,89.6,38.3,0.316,0.298,6,1060
Arodys Vizcaino,Atlanta Braves,SP,17,88.2,50,0.384,0.408,60,1060
Rich Hill,Los Angeles Dodgers,SP,217,84.2,26.8,0.299,0.265,-11,1060
Aaron Nola,Philadelphia Phillies,SP,746,88.6,38.8,0.3,0.299,-41,1059
Sam Dyson,Minnesota Twins,RP,249,87.4,36,0.277,0.29,-29,1059
Tyler Duffey,Minnesota Twins,RP,203,87.7,35.5,0.274,0.268,48,1057
Matt Shoemaker,Toronto Blue Jays,SP,108,89.2,39.2,0.241,0.334,14,1056
David Hale,New York Yankees,RP,153,86.2,26.6,0.288,0.276,11,1056
Aaron Civale,Cleveland Indians,SP,163,86.5,31.9,0.263,0.272,-2,1056
Brandon Woodruff,Milwaukee Brewers,SP,480,85.7,30.3,0.29,0.29,-4,1056
Andres Munoz,San Diego Padres,RP,82,85.6,29.5,0.215,0.259,9,1054
Julio Teheran,Atlanta Braves,SP,676,88,33.6,0.303,0.315,38,1054
Zack Greinke,Houston Astros,SP,719,86.8,32.9,0.275,0.284,-33,1053
Dallas Keuchel,Atlanta Braves,SP,361,87.2,37.4,0.33,0.327,31,1053
Keynan Middleton,Los Angeles Angels,SP,11,92.7,33.3,0.268,0.384,52,1052
Frankie Montas,Oakland Athletics,SP,371,87.2,34.9,0.28,0.277,21,1052
Rafael Montero,Texas Rangers,RP,77,84.1,22.9,0.264,0.298,47,1050
Daniel Hudson,Washington Nationals,RP,268,89.2,42.3,0.294,0.315,-28,1050
Emilio Pagan,Tampa Bay Rays,RP,227,88.5,32.3,0.244,0.213,16,1050
Sam Tuivailala,Seattle Mariners,RP,63,86.8,35.9,0.233,0.246,52,1049
Anthony Bass,Seattle Mariners,RP,158,88,37.7,0.263,0.318,13,1049
Lucas Giolito,Chicago White Sox,SP,656,87.8,34.6,0.279,0.28,5,1049
Kevin Ginkel,Arizona Diamondbacks,RP,57,88.9,34.3,0.225,0.262,65,1048
Charlie Morton,Tampa Bay Rays,SP,693,86.8,32.9,0.274,0.275,-41,1048
Brad Hand,Cleveland Indians,RP,234,87.6,36.6,0.299,0.282,-65,1047
Andrew Chafin,Arizona Diamondbacks,RP,207,86.5,36.2,0.303,0.312,10,1047
Jordan Hicks,St. Louis Cardinals,RP,110,86.9,28.6,0.233,0.236,-22,1047
Walker Buehler,Los Angeles Dodgers,SP,644,88.9,37,0.276,0.276,-23,1046
Sam Coonrod,San Francisco Giants,RP,78,88.7,38.5,0.264,0.287,23,1046
Chad Green,New York Yankees,RP,256,92,46.5,0.343,0.332,8,1046
Joakim Soria,Oakland Athletics,RP,258,87.4,36.5,0.275,0.295,-6,1045
Jandel Gustave,San Francisco Giants,RP,70,87.7,33.9,0.213,0.333,21,1045
Michael Pineda,Minnesota Twins,SP,576,88.9,37,0.307,0.313,13,1045
Austin Adams,Seattle Mariners,RP,103,90.8,51.2,0.255,0.236,57,1044
Jameson Taillon,Pittsburgh Pirates,SP,158,87.7,39.8,0.287,0.315,-31,1044
Blake Snell,Tampa Bay Rays,SP,413,87.8,31.5,0.304,0.263,47,1044
Jon Gray,Colorado Rockies,SP,637,88.9,43.6,0.326,0.325,54,1044
Chris Martin,Atlanta Braves,RP,199,88.3,38.7,0.3,0.293,-37,1043
David Robertson,Philadelphia Phillies,RP,33,92.9,47.6,0.382,0.387,43,1043
Luis Avilan,New York Mets,RP,121,85.1,22.2,0.315,0.322,45,1042
Ryan Helsley,St. Louis Cardinals,RP,114,87.9,41.3,0.25,0.275,22,1042
Seranthony Dominguez,Philadelphia Phillies,RP,110,84.7,30.9,0.319,0.29,-1,1041
Roberto Osuna,Houston Astros,RP,216,86.5,30.7,0.255,0.264,-18,1040
Clay Buchholz,Toronto Blue Jays,SP,149,85.6,33.6,0.341,0.376,-3,1039
Tony Barnette,Chicago Cubs,SP,5,91.4,60,0.574,0.322,39,1039
Luis Castillo,Cincinnati Reds,SP,678,85.7,32.4,0.283,0.276,-35,1039
Harrison Musgrave,Colorado Rockies,RP,47,88.8,39.3,0.284,0.317,38,1038
Sean Manaea,Oakland Athletics,SP,18,91.4,40,0.164,0.324,37,1037
Kenley Jansen,Los Angeles Dodgers,RP,224,84.3,27.2,0.291,0.259,7,1037
Jeff Samardzija,San Francisco Giants,SP,643,89,37.6,0.293,0.321,-15,1036
Dylan Floro,Los Angeles Dodgers,RP,170,84.9,35,0.276,0.282,22,1036
Yoshihisa Hirano,Arizona Diamondbacks,RP,208,86.7,28.2,0.322,0.3,-47,1036
David Phelps,Chicago Cubs,RP,116,89,36,0.308,0.293,-12,1035
Justin Miller,Washington Nationals,RP,65,88,35.4,0.372,0.333,-41,1035
Xavier Cedeno,Chicago Cubs,RP,13,85.8,33.3,0.467,0.346,35,1035
Luis Cessa,New York Yankees,SP,305,87.8,33.3,0.311,0.281,33,1034
Mark Melancon,Atlanta Braves,RP,250,88.8,36.3,0.303,0.286,0,1034
Tommy Hunter,Philadelphia Phillies,RP,18,81.6,15.4,0.097,0.177,34,1034
Rowan Wick,Chicago Cubs,RP,101,86.5,28.6,0.238,0.254,38,1034
Adrian Houser,Milwaukee Brewers,SP,382,86.1,36.4,0.313,0.288,5,1034
Chris Bassitt,Oakland Athletics,SP,550,86.8,31.4,0.303,0.305,-29,1033
Tommy Kahnle,New York Yankees,RP,219,87.7,35.5,0.26,0.247,-7,1033
Yu Darvish,Chicago Cubs,SP,633,88.1,38.8,0.308,0.307,-4,1033
Hyun-Jin Ryu,Los Angeles Dodgers,SP,648,85.2,31.2,0.275,0.286,-114,1032
Adam Kolarek,Los Angeles Dodgers,RP,215,86.7,35.5,0.289,0.29,2,1032
Tony Gonsolin,Los Angeles Dodgers,SP,112,87,36.9,0.257,0.281,10,1032
Jose Quintana,Chicago Cubs,SP,645,88.7,37.2,0.308,0.313,1,1032
Hector Rondon,Houston Astros,RP,226,86.8,34.8,0.323,0.298,31,1030
Marcus Stroman,New York Mets,SP,654,87.6,35.9,0.306,0.295,-23,1030
Ross Stripling,Los Angeles Dodgers,SP,333,88.2,38.8,0.299,0.281,28,1030
Anthony DeSclafani,Cincinnati Reds,SP,600,88.4,38.7,0.317,0.306,22,1029
Miguel Del Pozo,Los Angeles Angels,RP,23,76.7,0,0.134,0.165,28,1028
Amir Garrett,Cincinnati Reds,RP,219,87.2,32.1,0.297,0.286,-48,1028
Nick Goody,Cleveland Indians,RP,146,85.3,28.4,0.286,0.252,-24,1028
Blake Parker,Philadelphia Phillies,RP,214,89,41.4,0.31,0.348,5,1028
Joey Lucchesi,San Diego Padres,SP,598,87.8,37,0.294,0.304,18,1028
Miguel Castro,Baltimore Orioles,SP,288,87,33.3,0.31,0.293,25,1027
Matt Barnes,Boston Red Sox,RP,237,89.2,34.8,0.301,0.269,-29,1027
Sergio Romo,Minnesota Twins,RP,216,84.9,23.3,0.271,0.271,1,1026
Yoan Lopez,Arizona Diamondbacks,RP,220,91.9,45.5,0.286,0.368,-18,1026
Ian Gibaut,Texas Rangers,RP,43,91.2,44.4,0.232,0.309,26,1026
Jake Odorizzi,Minnesota Twins,SP,592,87.8,35.8,0.298,0.302,3,1026
Yonny Chirinos,Tampa Bay Rays,SP,504,87.6,33.7,0.286,0.318,-24,1026
Cody Reed,Cincinnati Reds,SP,25,89,44.4,0.219,0.165,26,1026
Dakota Hudson,St. Louis Cardinals,SP,645,89,39.2,0.329,0.342,37,1025
Oliver Drake,Tampa Bay Rays,RP,170,88.5,39,0.292,0.298,28,1025
Steven Wright,Boston Red Sox,RP,33,90.6,34.8,0.51,0.459,25,1025
Ryan Eades,Baltimore Orioles,SP,24,94.4,64.3,0.299,0.365,25,1025
Ian Kennedy,Kansas City Royals,RP,238,87.3,34,0.296,0.276,-7,1024
Junior Guerra,Milwaukee Brewers,SP,306,85.6,27.8,0.272,0.293,20,1024
Tanner Roark,Oakland Athletics,SP,636,88.6,37.3,0.326,0.331,9,1024
Jared Hughes,Philadelphia Phillies,RP,235,88.7,34.3,0.32,0.325,-13,1023
Randy Dobnak,Minnesota Twins,SP,41,86.4,40.6,0.303,0.276,23,1023
Craig Stammen,San Diego Padres,SP,306,86.5,32.6,0.317,0.284,25,1023
Brad Keller,Kansas City Royals,SP,709,88.9,38.3,0.31,0.33,-26,1022
James Paxton,New York Yankees,SP,558,89.1,39.6,0.324,0.296,44,1022
Jacob Webb,Atlanta Braves,RP,131,88,33.3,0.287,0.281,46,1021
Grant Dayton,Atlanta Braves,RP,37,91.3,39.1,0.353,0.27,21,1021
Pedro Strop,Chicago Cubs,RP,143,89.4,37.5,0.343,0.318,-58,1021
Justin Shafer,Toronto Blue Jays,RP,141,89.1,35.6,0.351,0.319,-1,1021
Jay Jackson,Milwaukee Brewers,RP,92,87.9,35.4,0.291,0.327,50,1021
Cam Bedrosian,Los Angeles Angels,RP,258,88.7,36.1,0.273,0.301,-13,1021
Emmanuel Clase,Texas Rangers,RP,57,85.1,35.1,0.311,0.291,6,1020
Victor Arano,Philadelphia Phillies,SP,16,92.9,28.6,0.266,0.3,20,1020
Craig Kimbrel,Chicago Cubs,RP,88,91.6,43.8,0.378,0.383,-21,1020
Anibal Sanchez,Washington Nationals,SP,613,86.2,27,0.307,0.309,-29,1020
Cole Hamels,Chicago Cubs,SP,542,89.2,40.1,0.311,0.322,5,1019
Steven Brault,Pittsburgh Pirates,SP,414,88.6,38,0.32,0.334,8,1018
Sean Newcomb,Atlanta Braves,RP,262,87.1,30.9,0.305,0.313,-33,1018
Shane Greene,Atlanta Braves,RP,213,88.9,37.7,0.249,0.287,21,1018
Zach Plesac,Cleveland Indians,SP,377,89.6,38.7,0.321,0.346,-19,1018
Joe Smith,Houston Astros,RP,68,92.2,52.9,0.267,0.256,10,1018
Hunter Harvey,Baltimore Orioles,RP,23,90.7,33.3,0.328,0.287,17,1017
Kohl Stewart,Minnesota Twins,RP,93,88.7,39.7,0.349,0.353,14,1016
Russell Martin,Los Angeles Dodgers,NA,13,91,36.4,0.162,0.186,16,1016
Joe Kelly,Los Angeles Dodgers,RP,208,89.2,40.2,0.309,0.283,24,1016
Masahiro Tanaka,New York Yankees,SP,679,88.7,37,0.316,0.31,40,1015
Adam Cimber,Cleveland Indians,RP,219,87.1,33.5,0.297,0.288,-71,1015
Pat Neshek,Philadelphia Phillies,RP,78,87.1,33.8,0.352,0.376,-22,1015
Robert Stephenson,Cincinnati Reds,RP,228,86.5,26.3,0.267,0.249,61,1015
Jeremy Walker,Atlanta Braves,SP,26,90.4,35,0.295,0.303,14,1014
Andrew Heaney,Los Angeles Angels,SP,317,88.6,37.8,0.306,0.299,5,1014
Devin Smeltzer,Minnesota Twins,SP,143,90,38.3,0.326,0.346,-29,1014
Jarlin Garcia,Miami Marlins,RP,169,88.1,31.4,0.244,0.276,7,1014
Junior Fernandez,St. Louis Cardinals,RP,30,93.7,50,0.28,0.341,14,1014
Darwinzon Hernandez,Boston Red Sox,RP,130,85.1,30.8,0.306,0.251,31,1013
J.B. Wendelken,Oakland Athletics,RP,106,85.8,31.8,0.261,0.228,-30,1013
Jonathan Hernandez,Texas Rangers,SP,25,86.2,31.3,0.295,0.322,13,1013
Duane Underwood Jr.,Chicago Cubs,NA,17,91.7,50,0.288,0.247,13,1013
Chandler Shepherd,Baltimore Orioles,SP,19,94.8,42.9,0.377,0.424,13,1013
Casey Sadler,Los Angeles Dodgers,RP,163,86.8,34.4,0.29,0.283,6,1013
Alex Claudio,Milwaukee Brewers,RP,244,84.5,30.1,0.32,0.303,25,1012
Cody Stashak,Minnesota Twins,RP,72,88.5,35.1,0.331,0.316,11,1012
Phillips Valdez,Texas Rangers,RP,75,87.9,32.6,0.355,0.327,-6,1012
Raisel Iglesias,Cincinnati Reds,RP,249,87.5,34.2,0.325,0.293,-14,1011
Luke Weaver,Arizona Diamondbacks,SP,254,89.2,41.4,0.283,0.307,6,1011
Robbie Ray,Arizona Diamondbacks,SP,646,86.5,37.1,0.32,0.319,4,1011
Tim Melville,Colorado Rockies,SP,61,88,34.9,0.346,0.353,-3,1010
John Curtiss,Los Angeles Angels,SP,12,87.3,37.5,0.348,0.368,10,1010
Connor Sadzeck,Seattle Mariners,RP,107,88.6,34.9,0.299,0.317,-40,1010
Heath Hembree,Boston Red Sox,RP,167,89,33.7,0.338,0.317,-49,1010
Jace Fry,Chicago White Sox,RP,217,88.9,41.9,0.334,0.338,-42,1010
JD Hammer,Philadelphia Phillies,RP,82,89.5,33.9,0.318,0.378,12,1010
Daniel Robertson,Tampa Bay Rays,NA,3,100.1,66.7,0.292,0.391,10,1010
Kevin Plawecki,Cleveland Indians,NA,6,90.8,33.3,0,0.241,10,1010
Luke Maile,Toronto Blue Jays,NA,8,86.1,0,0.199,0.152,10,1010
Cy Sneed,Houston Astros,RP,66,87.6,37,0.328,0.292,11,1009
Jared Walsh,Los Angeles Angels,NA,20,88.2,27.3,0.304,0.308,9,1009
Kyle Farmer,Cincinnati Reds,NA,5,87.3,NA,0.175,0.271,9,1009
Taylor Guerrieri,Texas Rangers,RP,97,88.7,32.8,0.362,0.307,-2,1009
Josh Tomlin,Atlanta Braves,SP,284,87.7,32,0.307,0.311,-9,1009
Brusdar Graterol,Minnesota Twins,SP,8,78.6,0,0.305,0.353,9,1009
Zac Grotz,Seattle Mariners,RP,37,87.1,29.2,0.267,0.305,9,1009
Andrew Miller,St. Louis Cardinals,RP,194,88.5,33.3,0.322,0.311,3,1009
Zack Wheeler,New York Mets,SP,713,86.5,32.9,0.303,0.309,42,1009
Pablo Sandoval,San Francisco Giants,NA,3,87.5,0,0.24,0.358,9,1009
Alex Avila,Arizona Diamondbacks,NA,8,82.2,33.3,0.305,0.245,8,1008
Jon Edwards,Cleveland Indians,RP,36,87,39.1,0.359,0.466,8,1008
Jake Newberry,Kansas City Royals,RP,119,91,42,0.337,0.353,28,1008
Michael Feliz,Pittsburgh Pirates,RP,205,86.8,34.2,0.296,0.28,23,1008
Jordan Romano,Toronto Blue Jays,RP,37,86.2,28.6,0.283,0.301,8,1008
Ronald Bolanos,San Diego Padres,SP,25,90.3,47.4,0.286,0.32,8,1008
Tim Mayza,Toronto Blue Jays,RP,222,86.3,37.1,0.315,0.326,-49,1007
Brett Anderson,Oakland Athletics,SP,659,88.9,40.3,0.311,0.347,15,1007
Daniel Ponce de Leon,St. Louis Cardinals,SP,186,88,27.8,0.293,0.292,-61,1007
Nate Jones,Chicago White Sox,RP,47,91.8,41.4,0.344,0.289,7,1007
Pedro Avila,San Diego Padres,SP,23,79.1,0,0.243,0.232,7,1007
Wei-Chung Wang,Pittsburgh Pirates,RP,114,87.2,26.7,0.304,0.31,-29,1007
Nate Karns,Baltimore Orioles,SP,25,85.2,43.8,0.371,0.313,7,1007
Joe Biagini,Houston Astros,RP,261,87.7,31.5,0.341,0.341,7,1007
Sean Rodriguez,Philadelphia Phillies,NA,4,97.8,66.7,0,0.158,7,1007
Stefan Crichton,Arizona Diamondbacks,RP,84,87.6,41.4,0.255,0.31,16,1006
Trevor Gott,San Francisco Giants,RP,214,88.2,37,0.263,0.303,-23,1006
Josh James,Houston Astros,RP,225,89.8,40.4,0.302,0.269,-6,1006
Jose Peraza,Cincinnati Reds,NA,4,87.9,25,0.219,0.309,6,1006
Caleb Joseph,Arizona Diamondbacks,NA,4,94.3,33.3,0,0.177,5,1005
Scott Barlow,Kansas City Royals,RP,264,86.9,33.8,0.323,0.305,16,1005
Ryan O'Rourke,New York Mets,SP,6,83.9,0,0.345,0.377,5,1005
Bryan Abreu,Houston Astros,SP,3,76.9,0,0,0.057,5,1005
Taylor Davis,Chicago Cubs,NA,6,84.7,0,0.438,0.459,5,1005
Jose Rondon,Chicago White Sox,NA,5,88.6,0,0.35,0.511,5,1005
Bryan Garcia,Detroit Tigers,SP,3,81.3,0,0,0.079,5,1005
Chris Ellis,Kansas City Royals,SP,5,88.5,25,0.313,0.425,5,1005
Edubray Ramos,Philadelphia Phillies,RP,63,84.5,22.9,0.405,0.352,-60,1005
Collin McHugh,Houston Astros,SP,317,87.8,29.9,0.312,0.307,66,1005
Patrick Sandoval,Los Angeles Angels,SP,111,85.9,35.7,0.319,0.311,6,1005
Charlie Culberson,Atlanta Braves,NA,10,92.6,42.9,0.349,0.429,5,1005
AJ Reed,Chicago White Sox,NA,3,84.3,0,0,0.111,5,1005
Matt Ramsey,Los Angeles Angels,SP,3,88.5,0,0,0.008,4,1004
Max Stassi,Houston Astros,NA,1,103.8,100,0,0.353,4,1004
Ryan Weber,Boston Red Sox,RP,143,87.2,30.4,0.319,0.298,35,1004
Nick Martini,Oakland Athletics,NA,5,65.8,0,0.276,0.317,4,1004
Jacob Stallings,Pittsburgh Pirates,NA,3,82.5,0,0,0.077,4,1004
Anthony Swarzak,Atlanta Braves,RP,201,88.6,46.2,0.327,0.338,-12,1004
Ian Desmond,Colorado Rockies,NA,4,79.3,0,0.309,0.266,4,1004
Chasen Bradford,Seattle Mariners,RP,69,89,37,0.368,0.338,-13,1004
Ian Kinsler,San Diego Padres,NA,6,87.5,33.3,0.496,0.677,4,1004
Hunter Wood,Cleveland Indians,RP,168,86.2,29,0.314,0.297,-44,1004
Sean Doolittle,Washington Nationals,RP,239,89.9,39.9,0.339,0.305,-61,1004
Jose Rodriguez,Los Angeles Angels,SP,27,85.4,23.8,0.39,0.362,4,1004
JB Shuck,Pittsburgh Pirates,NA,5,85,25,0.313,0.354,4,1004
Humberto Arteaga,Kansas City Royals,NA,8,93.4,57.1,0.445,0.579,3,1003
Luke Jackson,Atlanta Braves,SP,282,87.5,33.3,0.313,0.266,7,1002
Michel Baez,San Diego Padres,RP,85,87.6,40,0.312,0.319,-15,1002
Tyler Rogers,San Francisco Giants,RP,23,83.1,21.1,0.243,0.233,2,1002
Diego Castillo,Tampa Bay Rays,RP,246,87,31.8,0.31,0.265,-31,1002
James Hoyt,Cleveland Indians,SP,7,95.2,50,0.223,0.316,2,1002
Brian Schlitter,Oakland Athletics,RP,41,87.4,29,0.35,0.254,2,1002
Tim Collins,Chicago Cubs,RP,38,86.3,22.6,0.32,0.336,2,1002
Adam Morgan,Philadelphia Phillies,RP,120,88,32.1,0.27,0.262,-31,1002
Danny Salazar,Cleveland Indians,SP,17,87.5,41.7,0.48,0.513,1,1001
Pat Venditte,San Francisco Giants,SP,19,81.7,8.3,0.429,0.38,1,1001
T.J. Zeuch,Toronto Blue Jays,SP,17,96.1,54.5,0.257,0.335,1,1001
Adonis Rosa,New York Yankees,SP,7,92.7,20,0.285,0.331,1,1001
Blake Treinen,Oakland Athletics,RP,254,87.2,35,0.34,0.337,-59,1000
Madison Bumgarner,San Francisco Giants,SP,736,89.5,41.8,0.3,0.311,-16,1000
David Bednar,San Diego Padres,SP,6,84.8,0,0.261,0.25,0,1000
Chris Sale,Boston Red Sox,SP,612,88.1,36.3,0.298,0.283,19,1000
Jose Cisnero,Detroit Tigers,RP,123,87.2,35.1,0.324,0.29,6,1000
Josh D. Smith,Cleveland Indians,RP,43,87,38.1,0.349,0.275,0,1000
Sam Freeman,Los Angeles Angels,SP,11,90.3,44.4,0.466,0.572,0,1000
A.J. Puk,Oakland Athletics,SP,11,86.6,33.3,0.347,0.313,0,1000
Alec Mills,Chicago Cubs,SP,89,88.3,36.2,0.362,0.402,-19,1000
Ty France,San Diego Padres,NA,8,91.9,50,0.359,0.429,-1,999
Yimi Garcia,Los Angeles Dodgers,RP,225,86.6,28.3,0.284,0.248,14,999
Jimmy Cordero,Chicago White Sox,RP,103,85.1,29.9,0.31,0.302,16,999
Josh Staumont,Kansas City Royals,RP,69,93.8,46.8,0.359,0.383,-9,999
Buddy Boshers,Toronto Blue Jays,RP,63,88,29.7,0.366,0.273,-3,999
Logan Webb,San Francisco Giants,SP,67,87.7,28.3,0.342,0.302,-7,999
Michael Brosseau,Tampa Bay Rays,NA,18,85.5,23.5,0.385,0.304,-1,999
Joel Payamps,Arizona Diamondbacks,SP,17,85,45.5,0.348,0.472,-2,998
Ty Buttrey,Los Angeles Angels,RP,272,89.8,40.2,0.298,0.308,-12,998
Noah Syndergaard,New York Mets,SP,700,86.3,30.5,0.294,0.272,-47,998
Kendrys Morales,Oakland Athletics,NA,7,89.9,0,0.425,0.466,-2,998
Max Fried,Atlanta Braves,SP,611,88.7,40,0.322,0.296,-21,998
Brandon Dixon,Detroit Tigers,NA,9,89.8,16.7,0.381,0.486,-2,998
Eduardo Jimenez,Detroit Tigers,RP,49,91.8,36.1,0.337,0.342,-3,997
Shane Carle,Atlanta Braves,RP,49,90.3,38.7,0.462,0.466,-3,997
Tim Federowicz,Texas Rangers,NA,6,90.5,20,0.624,0.667,-3,997
Jacob Waguespack,Toronto Blue Jays,SP,252,88.2,36.7,0.31,0.34,-6,996
Tyler Webb,St. Louis Cardinals,RP,189,85.6,29.8,0.274,0.278,-7,996
Kyle Keller,Miami Marlins,SP,25,93.2,42.9,0.413,0.451,-4,996
Tom Murphy,Seattle Mariners,NA,11,95.6,50,0.175,0.318,-5,995
Austin Voth,Washington Nationals,SP,97,86.9,28.6,0.315,0.26,12,995
Chris Davis,Baltimore Orioles,NA,5,99.3,75,0.646,0.652,-5,995
Sean Gilmartin,Baltimore Orioles,SP,16,85.4,15.4,0.631,0.489,-5,995
John Means,Baltimore Orioles,SP,516,87.3,31.1,0.299,0.304,39,995
Eduardo Nunez,Boston Red Sox,NA,4,97.4,50,0.498,0.403,-5,995
Sam Howard,Colorado Rockies,RP,60,84.6,24.3,0.364,0.322,0,995
Sam Selman,San Francisco Giants,SP,17,83.7,27.3,0.419,0.379,-5,995
David McKay,Detroit Tigers,RP,80,89.1,30.4,0.303,0.335,-20,995
Archie Bradley,Arizona Diamondbacks,RP,287,88.2,37.6,0.324,0.319,4,995
Aaron Altherr,Philadelphia Phillies,NA,5,95.5,66.7,0.422,0.297,-5,995
Tony Watson,San Francisco Giants,RP,231,86.8,31.8,0.33,0.319,-69,994
Jose De Leon,Tampa Bay Rays,SP,16,85.1,12.5,0.257,0.29,-6,994
Jake Petricka,Milwaukee Brewers,RP,36,88.6,33.3,0.279,0.314,-6,994
Luis Perdomo,San Diego Padres,RP,255,90.3,45,0.288,0.304,10,994
Ryan Tepera,Toronto Blue Jays,RP,55,91.3,41.7,0.368,0.392,-13,994
Rogelio Armenteros,Houston Astros,SP,75,86,28.8,0.269,0.276,-15,994
Jose Osuna,Pittsburgh Pirates,NA,9,92.2,33.3,0.416,0.416,-6,994
Travis Lakins,Boston Red Sox,RP,70,88.1,39.2,0.332,0.32,-29,993
Lewis Thorpe,Minnesota Twins,RP,74,87.6,31.4,0.344,0.316,3,993
Brandon Brennan,Seattle Mariners,RP,161,87.7,34,0.286,0.3,-67,992
Adam Wainwright,St. Louis Cardinals,SP,619,88.3,39.4,0.331,0.324,26,992
Locke St. John,Texas Rangers,RP,33,87.6,37.5,0.302,0.291,-8,992
Matt Strahm,San Diego Padres,SP,451,88.2,41.4,0.335,0.334,38,992
Fernando Abad,San Francisco Giants,RP,28,87.5,43.5,0.285,0.274,-9,991
Mike Morin,Philadelphia Phillies,RP,172,85.3,26.6,0.282,0.31,8,991
Mark Reynolds,Colorado Rockies,NA,7,94.1,60,0.451,0.286,-10,990
Justin Anderson,Los Angeles Angels,RP,188,87.2,31.7,0.321,0.298,-35,990
Mike Freeman,Cleveland Indians,NA,8,84.1,25,0.404,0.275,-10,990
Joel Kuhnel,Cincinnati Reds,RP,22,91.2,35.7,0.329,0.251,-10,990
Bryan Holaday,Miami Marlins,NA,1,84.4,0,0,0.105,-10,990
Colin Poche,Tampa Bay Rays,RP,165,89.2,35.6,0.279,0.25,26,990
Miles Mikolas,St. Louis Cardinals,SP,664,87.9,35.7,0.319,0.329,22,990
Erick Fedde,Washington Nationals,SP,313,88.1,40.8,0.346,0.372,21,990
Reggie McClain,Seattle Mariners,RP,57,90.5,39,0.312,0.352,14,990
Chaz Roe,Tampa Bay Rays,RP,210,86.2,29.4,0.313,0.3,15,990
Cory Gearrin,New York Yankees,RP,207,88.5,35.3,0.323,0.326,16,990
Noe Ramirez,Los Angeles Angels,RP,237,87.3,33.3,0.312,0.286,-35,989
Domingo German,New York Yankees,SP,550,89.1,39.8,0.312,0.314,11,989
Jesse Chavez,Texas Rangers,SP,337,87.7,34.5,0.335,0.341,-74,988
Andrew Moore,Seattle Mariners,SP,20,95.4,41.2,0.445,0.357,-12,988
Adam Warren,San Diego Padres,RP,124,86.4,34.9,0.372,0.354,-25,988
Ryan Buchter,Oakland Athletics,RP,167,86.4,30.7,0.345,0.338,-8,987
Chasen Shreve,St. Louis Cardinals,SP,10,85.2,16.7,0.388,0.42,-13,987
Carlos Estevez,Colorado Rockies,RP,276,90.7,40.1,0.336,0.314,-2,987
Matt Carasiti,Seattle Mariners,RP,43,89.7,35.7,0.373,0.305,-13,987
Jesus Sucre,Baltimore Orioles,NA,3,88.7,0,0,0.097,-13,987
Brady Lail,New York Yankees,SP,10,84.2,42.9,0.356,0.38,-13,987
Stevie Wilkerson,Baltimore Orioles,NA,22,89.4,25,0.357,0.317,-13,987
Michael Blazek,Washington Nationals,SP,26,91,33.3,0.391,0.431,-13,987
Zach Duke,Cincinnati Reds,RP,106,88.3,42.2,0.364,0.376,23,986
Hanser Alberto,Baltimore Orioles,NA,7,92.9,50,0.585,0.594,-14,986
Jon Lester,Chicago Cubs,SP,665,88,35.5,0.339,0.347,52,986
Sandy Baez,Detroit Tigers,SP,5,79.2,20,0.422,0.167,-14,986
Ray Black,Milwaukee Brewers,RP,36,91.1,45.8,0.348,0.383,-14,986
Jeff Mathis,Texas Rangers,NA,9,90.8,50,0.416,0.393,-15,985
Chris Paddack,San Diego Padres,SP,529,86.8,31.4,0.279,0.282,45,985
Caleb Frare,Chicago White Sox,RP,14,91,28.6,0.402,0.423,-15,985
Drew VerHagen,Detroit Tigers,RP,196,88.9,37.4,0.367,0.328,37,985
Aaron Slegers,Tampa Bay Rays,SP,12,86.6,36.4,0.372,0.441,-15,985
Kevin McCarthy,Kansas City Royals,RP,224,89.1,40.6,0.342,0.331,-19,985
Zack Littell,Minnesota Twins,RP,105,93,55.3,0.325,0.379,33,985
A.J. Minter,Atlanta Braves,RP,137,87,33.8,0.346,0.333,-36,985
Jeremy Jeffress,Milwaukee Brewers,RP,225,86.2,36.4,0.322,0.334,-49,985
James Norwood,Chicago Cubs,SP,4,98.2,100,0.173,0.456,-15,985
Fernando Salas,Philadelphia Phillies,SP,15,94.4,58.3,0.565,0.314,-16,984
