Name,Team,Position,PA,EV,HH%,wOBA,xwOBA,Trend,playerElo
Jaime Barria,Los Angeles Angels,SP,291,89,39.7,0.368,0.343,-23,921
Tyler Thornburg,Boston Red Sox,RP,86,92.4,56.6,0.404,0.389,-30,921
Reed Garrett,Detroit Tigers,RP,77,94.7,49.1,0.48,0.441,-84,921
Caleb Smith,Miami Marlins,SP,525,87.9,36.3,0.309,0.316,-38,921
Gerardo Reyes,San Diego Padres,RP,77,87,29.3,0.353,0.295,-37,920
Logan Allen,Cleveland Indians,SP,127,91.6,52.1,0.405,0.406,-47,920
Joe Ross,Washington Nationals,RP,253,87.3,37.1,0.369,0.36,-46,919
Brendan McKay,Tampa Bay Rays,SP,159,89.4,41.5,0.361,0.33,-80,919
Roenis Elias,Washington Nationals,RP,213,88,37.1,0.311,0.327,-85,919
Danny Duffy,Kansas City Royals,SP,461,88.4,35.1,0.344,0.339,-58,918
Yefry Ramirez,Pittsburgh Pirates,SP,88,87.8,34.5,0.426,0.382,-26,917
Tom Eshelman,Baltimore Orioles,RP,164,90.5,41.5,0.395,0.377,-31,916
Tommy Milone,Seattle Mariners,SP,383,86.7,31.1,0.33,0.324,15,916
Dereck Rodriguez,San Francisco Giants,SP,381,88.8,35.5,0.339,0.343,6,916
Aaron Wilkerson,Milwaukee Brewers,RP,80,86.4,28.3,0.422,0.313,-34,916
Adalberto Mejia,Los Angeles Angels,RP,129,91.2,48.2,0.37,0.394,-32,916
Jhoulys Chacin,Milwaukee Brewers,SP,403,88.1,42.8,0.363,0.351,-57,916
Parker Markel,Pittsburgh Pirates,RP,66,88.7,31,0.472,0.408,-73,915
Thomas Pannone,Toronto Blue Jays,SP,291,89.4,39.6,0.335,0.346,-42,915
Erik Swanson,Seattle Mariners,RP,214,91,42.4,0.349,0.352,47,915
Ryan Dull,New York Yankees,RP,58,89.6,48.7,0.537,0.473,-75,914
Joe Musgrove,Pittsburgh Pirates,SP,654,88.6,39.5,0.32,0.313,29,914
Paul Blackburn,Oakland Athletics,SP,18,85.8,50,0.46,0.521,-87,913
Elieser Hernandez,Miami Marlins,SP,296,85.7,32,0.343,0.3,8,913
Matt Koch,Arizona Diamondbacks,RP,96,91.3,48.7,0.454,0.435,20,912
Aaron Brooks,Baltimore Orioles,RP,412,88.8,40.9,0.363,0.349,40,912
Austin Davis,Philadelphia Phillies,RP,70,88.9,36.6,0.438,0.395,-48,912
Rick Porcello,Boston Red Sox,SP,683,88.1,36.7,0.348,0.335,-31,912
Gabriel Ynoa,Baltimore Orioles,SP,407,90.1,40.7,0.345,0.349,28,912
Walker Lockett,New York Mets,SP,77,88.3,32.8,0.396,0.348,14,911
Freddy Peralta,Milwaukee Brewers,SP,346,89,39.9,0.351,0.319,-56,910
Kyle McGowin,Washington Nationals,RP,76,91,47.2,0.417,0.39,-48,910
Kelvin Herrera,Chicago White Sox,RP,203,85.9,32.9,0.365,0.342,-5,909
Chance Adams,New York Yankees,RP,107,88.4,32.5,0.414,0.347,-42,909
Vince Velasquez,Philadelphia Phillies,SP,430,89.5,40.3,0.344,0.329,-50,909
Taylor Clarke,Arizona Diamondbacks,SP,311,89.7,40.5,0.368,0.36,-25,908
Reynaldo Lopez,Chicago White Sox,SP,679,89,38.9,0.353,0.341,-63,908
Derek Law,Toronto Blue Jays,RP,242,88.6,38.4,0.344,0.328,2,907
Jeurys Familia,New York Mets,RP,229,87.7,37.2,0.376,0.334,-23,907
Merrill Kelly,Arizona Diamondbacks,SP,676,89.2,39.8,0.328,0.345,26,906
Chris Flexen,New York Mets,RP,70,89.6,46.8,0.353,0.344,2,906
Nick Pivetta,Philadelphia Phillies,SP,400,88.7,34.9,0.364,0.349,-32,906
Yacksel Rios,Pittsburgh Pirates,SP,23,85.1,40,0.5,0.475,-95,905
Paul Sewald,New York Mets,RP,60,89.9,41,0.303,0.307,9,901
Jeanmar Gomez,Texas Rangers,RP,73,90.4,33.9,0.407,0.364,-66,901
Matthew Boyd,Detroit Tigers,SP,693,88.4,34.8,0.317,0.292,-49,901
Andrew Kittredge,Tampa Bay Rays,RP,169,87.9,36.6,0.331,0.287,-4,899
Tyson Ross,Detroit Tigers,SP,162,89.2,43.2,0.368,0.388,-82,899
Jerad Eickhoff,Philadelphia Phillies,SP,245,87.8,39.1,0.369,0.345,-107,899
Josh Rogers,Baltimore Orioles,RP,69,92.6,50,0.459,0.449,-26,899
Chad Bettis,Colorado Rockies,RP,287,89.6,41.1,0.365,0.324,-16,898
Matt Hall,Detroit Tigers,RP,73,86.2,30.2,0.353,0.328,-47,898
Phil Maton,Cleveland Indians,RP,148,85.8,28.7,0.359,0.326,21,897
Jake Arrieta,Philadelphia Phillies,SP,594,88.7,37.3,0.342,0.336,-30,896
Andrew Suarez,San Francisco Giants,RP,113,90.6,39.8,0.424,0.395,21,896
Jeff Hoffman,Colorado Rockies,SP,210,88.3,39.2,0.412,0.368,-43,895
Cole Irvin,Philadelphia Phillies,RP,142,85.6,31.1,0.371,0.364,-72,895
Dylan Cease,Chicago White Sox,SP,263,88.7,39,0.369,0.323,-30,895
Kyle Freeland,Colorado Rockies,SP,452,89,40.1,0.379,0.361,7,895
Spencer Turnbull,Detroit Tigers,SP,554,89.3,40.9,0.333,0.334,-32,893
Wandy Peralta,Cincinnati Reds,RP,151,86,38.1,0.366,0.372,-25,893
Jacob Barnes,Kansas City Royals,RP,125,88.6,37.2,0.354,0.342,-31,893
Trevor Cahill,Los Angeles Angels,SP,417,88.8,38.8,0.37,0.347,1,892
Chi Chi Gonzalez,Colorado Rockies,SP,194,88.3,43.4,0.374,0.381,-41,892
Shaun Anderson,San Francisco Giants,SP,391,86.8,37.8,0.355,0.359,-29,891
Matt Harvey,Los Angeles Angels,SP,266,90.3,41.6,0.372,0.39,-11,891
Trent Thornton,Toronto Blue Jays,SP,577,87.6,36.5,0.347,0.334,-16,891
Jose Suarez,Los Angeles Angels,SP,291,87,35.1,0.395,0.342,2,891
Tyler Lyons,New York Yankees,SP,24,86.4,46.7,0.509,0.434,-110,890
Trevor Williams,Pittsburgh Pirates,SP,546,87.6,36,0.348,0.337,41,889
Mike Leake,Arizona Diamondbacks,SP,733,90.8,43.6,0.347,0.35,22,888
Gerson Bautista,Seattle Mariners,RP,49,90.8,42.4,0.433,0.395,-113,887
Alex McRae,Pittsburgh Pirates,RP,79,89.1,42.2,0.44,0.359,-86,887
Drew Smyly,Philadelphia Phillies,SP,432,88.6,38.5,0.4,0.374,13,886
David Hernandez,Cincinnati Reds,RP,199,88.1,35.2,0.38,0.315,-157,886
Montana DuRapau,Pittsburgh Pirates,RP,90,91.4,39.3,0.429,0.361,-96,886
Nick Tropeano,Los Angeles Angels,SP,66,90.1,39.6,0.436,0.415,-81,886
Trevor Bauer,Cincinnati Reds,SP,828,88.3,37.8,0.326,0.316,-66,885
Sal Romano,Cincinnati Reds,SP,39,89.7,31,0.471,0.36,-115,885
Taylor Williams,Milwaukee Brewers,RP,60,91.8,52.4,0.411,0.378,-100,884
Derek Holland,Chicago Cubs,SP,346,89.2,42.3,0.36,0.348,-42,882
Ross Detwiler,Chicago White Sox,RP,251,89.4,38.7,0.397,0.391,-38,880
Bryan Shaw,Colorado Rockies,SP,287,90.3,41.5,0.338,0.338,-43,880
Martin Perez,Minnesota Twins,SP,629,85,29.3,0.332,0.299,-46,879
Zack Godley,Toronto Blue Jays,SP,407,89,35.6,0.351,0.359,36,879
Dovydas Neverauskas,Pittsburgh Pirates,RP,53,92.7,50,0.444,0.432,-56,879
Jake McGee,Colorado Rockies,RP,169,89.3,40,0.374,0.333,-78,879
Trevor Hildenberger,Minnesota Twins,RP,71,90.6,41.2,0.406,0.345,-38,878
Hector Noesi,Miami Marlins,SP,99,88.9,41.8,0.409,0.362,-64,878
Kyle Barraclough,San Francisco Giants,RP,129,91.1,45.1,0.393,0.381,-44,878
Mitch Keller,Pittsburgh Pirates,SP,158,88.9,42.7,0.408,0.311,-40,875
Manny Banuelos,Chicago White Sox,RP,220,88.2,38.9,0.408,0.372,-39,874
Ariel Jurado,Texas Rangers,SP,511,89,43.3,0.358,0.362,29,874
